Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
11;NH24;1219;238;B6D2F1;CD;M;364;2;23618;1661;2431;7292;44388;26256;18515;6085;18326;1931;17188;12665;18235;54870;6756;11998;11666;2067;718;57454;102936;6767;32156;6405;118852;498459;7024;29357;5487;10097;33639;5692;63958;3142;215193;212107;6915;5879;10275;4856;283461;17808;14616;5545;69305;476890;3887;909780;832;2250;941;7771;16577;603;149552;6773;7911;36840;4725;10730;1320;1035;81234;1253;32804;3061;1694559;198813;58475;187572;33272;15121;9760;2436;15877;4452;6502;206663;10486;6619;9359;1783;6778;412264;18415;7883;1835;6269;17779;3428;8574;19487;18993;622;6481;1729;6201;3550;4511;2152;15221;98395;4674;8852;24154;1020;6864;101358;16455;9256;987168;66453;5571;1763;46694;5623;7072;9264;9037;13006;2453;31397;14157;3050;8772;11624;11199;6295;2715;5071;1342480;3432;4471;1884;269099;57236;27133;3021;41324;6046;5925;3815;1600;1463;4148;103748;30965;17650;38287;49112;14679;3778;4345;757;86410;14839;2436;694925;4034;3593;3270;1689;1938;12355;70970;522;4329;3188;13275;8162;10136;1163;3237;5686;13438;8329;21953;14177;5107;3490;8165;1742;353560;1234;6731;2342;6540;1709;839;131443;23013;9270;6907;10424;29753;3415;2136;12616;5653;9912;7687;1371;58693;3269;6557;1890;5663;2156;3012;21782;5088;4758;3530;87662;3012;7083;237496;4227;6489;5204;3978;5152;5421;30099;4631;3378753;22672;1764;96431;8629;3879;3225;22278;25126;41955;36979;913;293603;2023147;9518;1783259;41658;5528;8147;19400;4401;391987;7283;681733;34506;12880;25197;13504;1393;11206;110163;607;1389;1021;2876;278263;4451;76709;31030;6364;8636;2428;7061;487772;902;81983;3569;3006;1973;7398;10155;13135;5899;1319;7373;17463;3487;10258;14921;53328;1460;775899;12655;2300;6456;2911;2607;7890;4386;2351;2748;4085;102910;3057;4404;2326;10324;3478;1930;3308;3294;2863;3186;5908;2116;21439084;6078;809;31004;13428;8873;2217;1118;710;108809;4333;1059;3422;4061;814;2402;3735;5085;11826;4319;3366;6043;8015;110605;11367;4277;6847;2419;1871;282295;376490;740115;166655;38040;1955164;1640044;31978;39394;3846;104707;34379;2646;7372;2244;62404;57117;8389;3940;41948;41948;4968;3056;15313;2465;7306;3922
12;NH24;1219;238;B6D2F1;CD;M;364;2;24941;1855;3178;7541;46288;24738;19393;6293;20858;2251;18048;12100;19627;58553;6606;12241;11009;2158;931;60354;107720;7075;30956;7169;119207;516214;7548;29929;5242;10044;33173;6793;63597;3002;220107;222178;7337;5762;10637;4796;287313;17678;15128;6372;69441;517685;3683;951383;938;1971;1168;6750;15419;683;146898;7005;8447;38033;5550;11989;1071;1643;86051;1566;34367;3120;1754736;227258;57134;188980;33429;15486;9188;2795;16900;4461;5861;202686;10480;7510;10445;1756;7018;425323;20890;7636;2255;7386;16877;3274;8508;19218;20528;836;7512;1975;5608;3404;4942;1904;16619;100402;4998;8289;26454;1160;7513;104268;14223;10658;1038725;69311;6628;2147;51813;4773;6831;8382;10221;12942;2558;35870;14961;2806;9680;11200;12150;6364;2625;4872;1364466;3616;4913;1522;265362;57189;27731;2977;41800;6352;6206;3583;1864;1478;3519;105208;31186;18961;36754;48281;14377;4173;3574;870;91540;17431;3108;734298;3764;4135;2991;1802;1865;12207;72883;480;4723;3852;12672;9450;9510;1323;3935;5911;14058;9334;22091;13502;4926;3786;8538;1692;376438;1404;7107;2555;6850;1783;763;137285;23704;10479;6092;10843;29891;3476;2568;13225;5697;10123;7043;1464;58526;3577;6929;1671;6122;2234;3224;20766;5099;4685;3404;90147;3086;7186;242612;4454;6423;5078;3860;4667;2913;30766;4672;3801747;22909;1971;98584;8827;4090;3305;23831;24305;45047;39669;823;331375;2371404;9332;1921135;42817;5102;8305;18470;4369;464358;7854;692253;41190;14317;26913;13416;1457;12029;111338;817;1866;1149;3152;323419;5814;95607;37890;7940;9407;2514;7899;518117;977;88670;3395;3114;2358;7628;11473;14786;6651;1459;8100;18679;3466;10644;16632;59708;1752;787781;13945;2403;7051;2877;2593;7698;4811;2198;3248;4247;112407;3381;4481;2343;10868;4114;2340;3195;3341;3292;3879;5594;2684;22211694;6121;931;36193;14952;9622;2252;1066;845;116785;4460;812;3716;5431;959;2599;4661;5394;14429;5320;3370;6179;10699;114500;12737;5475;8346;2752;1649;318791;439588;894892;197489;43251;2280828;1912422;37591;45809;4582;127170;38513;2906;8655;2827;73072;64111;9424;4071;47752;47752;5490;2660;17400;2448;7657;4919
13;NH24;1568;169;B6D2F1;CD;F;460;3;14210;1329;1467;8425;44052;32792;16328;6826;12183;2035;11024;4687;12941;42593;8664;16722;10799;2555;1036;49837;47471;8389;16817;5373;107379;292776;4621;18963;5406;11221;20999;5878;55564;3126;130853;133274;5171;6232;5514;5941;295098;18518;12503;4689;44500;238740;4436;880156;868;2045;1051;7128;21975;777;182727;7079;6164;37833;7024;13191;898;2173;14347;2564;20162;2506;989165;153944;68575;151854;37336;9490;10153;3239;11423;4640;6109;193186;10617;5229;7680;920;5130;177827;3263;7954;2320;4275;15751;3387;9859;30877;8033;886;6569;1790;5269;2265;4115;5328;6592;82767;2802;11930;23329;1009;13294;104564;27785;7438;290199;26340;3578;1720;101655;3705;10329;9921;6846;17798;8669;9114;9532;3265;3643;11478;6528;8104;2275;3987;425991;2699;5046;1773;305798;56710;31294;3560;47291;3810;6040;5185;1192;1246;4734;24476;29852;8033;19066;20517;9412;2975;2929;1113;60566;17037;2699;320678;3123;3506;4070;2240;2303;11493;148841;871;1648;3393;11921;4615;10684;1796;5057;6290;12094;7580;3458;16752;2689;4885;14704;2067;103751;2128;6411;3484;1636;1115;945;92453;11719;7513;7365;7629;15981;4462;2183;16445;4023;8736;4141;1598;33977;2850;4067;1642;3394;2156;2075;23447;11894;2883;4534;107154;1297;8614;148124;5580;7353;7074;3399;3988;2030;12529;3402;1994002;11441;2293;202346;6395;968;2587;21983;21513;26449;22901;521;55983;399285;3710;1721008;36753;3646;4746;11733;3387;57023;4089;318148;7715;2059;24904;7193;768;4321;30280;447;1414;839;2303;29988;3139;6122;3487;2489;8633;2059;2472;105756;474;48298;2697;1979;1478;2947;1097;8147;3634;1013;3700;6917;2474;4185;6057;14194;935;42511;11099;1127;4222;3100;2789;2077;2508;2173;1970;6865;42907;1758;3434;3202;4480;1902;2199;1322;4137;3219;2183;3619;1235;21954310;9154;882;6257;10083;7374;2019;705;684;36490;5393;779;2196;2153;661;1362;2362;1440;4000;2345;1858;1994;1694;53426;4681;1121;1157;1128;1546;13947;26482;117110;50471;5240;63338;116974;4200;6275;2864;31786;7645;3275;3653;2288;12288;14892;5312;3417;15617;15617;3028;2438;4331;3539;4469;3025
14;NH24;1568;169;B6D2F1;CD;F;460;3;14980;1308;1335;9193;46581;32037;17770;6701;11015;1763;11490;6114;13704;43955;8703;16350;11775;2145;1047;51991;47911;7912;16743;5028;109569;314441;4338;20503;5377;11773;22083;6149;56544;2869;136802;140486;4856;6206;6042;5934;314857;19911;12361;3782;44343;233598;4515;960523;908;2513;954;7282;22839;628;177436;6819;6125;40950;6664;12526;906;2411;15188;3156;19245;2705;1041593;149740;63507;159187;38134;10499;9905;3284;12232;4348;5758;205934;11143;7116;8367;1015;5246;178382;3415;8329;2399;4301;17449;3509;9674;30647;6230;712;6887;1954;5164;2484;4621;4979;7467;86575;3246;11637;25205;1264;13944;112506;27372;7933;307710;28390;4458;1688;110143;4122;9989;9660;6953;19641;9169;9413;10167;2801;3613;12409;6906;8912;2765;4353;442392;2977;5243;1632;322560;58358;31063;3370;50543;4373;6567;5937;1805;1093;5075;25203;28595;8318;20987;20717;10385;3467;3555;1074;63440;18202;2993;337848;3128;3704;4101;2712;2183;12561;152345;839;1688;3415;11972;4888;11012;1548;3076;6906;11429;7323;3926;18567;2890;4352;14745;2145;105854;1574;6874;4172;1663;1037;872;91856;12266;8579;8064;7662;17381;4128;2594;15351;3844;8799;4246;1577;34144;3254;4497;1660;3759;2749;2188;23602;12015;2966;4350;99617;1573;9950;154944;5764;7176;6615;3550;5596;2288;13411;2687;1814002;12209;2703;219050;6309;1094;2443;23220;22461;25663;22351;637;49140;324302;3023;1671911;39198;3368;4333;11405;3199;45017;5025;336608;7547;2151;23930;7641;581;4602;31720;402;1469;642;2523;20515;2761;4332;2576;2078;8210;2198;2575;105383;351;50235;2766;2392;1511;3204;1328;9226;3631;1134;3741;8562;2267;3743;6072;15085;953;38278;12701;1174;4180;2538;2773;1817;2447;2031;2165;6958;42767;1950;3389;3354;4263;1687;1999;1234;3850;3117;2092;4000;1283;23064856;10255;535;5057;9703;7739;1729;783;644;40367;5141;748;2778;2348;428;1029;2352;1275;3909;2447;1828;2316;1317;58053;4647;1043;1230;1249;1961;12482;24092;109672;49917;4678;52656;106643;4357;5824;3213;29089;6452;3020;3489;2085;11603;13654;4792;3586;14334;14334;2636;3028;4552;3926;4829;3176
15;NH24;1707;100;BXD65b;HF;F;721;4;2619;1236;2055;11948;10324;5531;8000;5979;5140;1111;4916;1245;9819;8555;5173;22146;5911;1956;476;24881;8317;8287;9940;1674;40409;28292;1816;4697;7728;7526;10331;5934;27341;3183;20327;71672;2333;6245;2158;1780;90966;8165;2436;3197;7464;34406;2029;116283;274;771;920;6536;16240;811;284203;4665;2894;19894;5738;16343;880;928;5994;836;2454;1418;97564;61525;92068;18384;13279;2442;3210;3208;3486;4876;7680;18304;5039;1001;4467;1704;2032;32825;1544;4767;954;1832;3051;2945;15458;49285;3632;905;6105;2420;6027;1425;4946;1609;4286;25474;1938;19490;10901;1242;3635;26554;42312;3410;35417;4484;2705;1212;9408;2925;2929;3961;2032;25977;1113;3279;3364;1965;1488;16330;2574;891;746;2889;82551;1720;4924;2161;46772;23124;44055;2101;3445;1140;6661;7509;965;1223;3568;4888;34833;3889;3369;3187;2252;744;694;461;19797;1339;1682;26240;2371;2371;3291;957;796;4810;116596;558;1528;3232;14117;2340;18636;2725;1287;2712;1723;3351;2204;2241;1476;5152;21575;1212;16369;2001;5988;4083;1237;717;819;59507;3020;3624;1573;5279;8237;1897;890;19477;1157;3924;1050;1554;6462;1581;1336;910;1158;530;367;28039;6410;1145;4402;175212;776;17884;14369;4989;1471;3526;997;3328;1382;2749;3053;2228742;2214;1379;22338;1898;871;1775;2570;1619;23405;16472;342;20339;196841;3899;1956440;4711;1282;3367;1881;855;33119;1614;33638;8955;1412;25899;1343;722;2097;3569;344;698;413;1674;17777;1247;3369;2564;2544;9683;552;1160;29384;300;8173;1099;486;787;1121;760;2314;1400;784;1096;2022;2778;2233;1278;10025;310;3486;5105;415;692;2661;2438;580;785;500;453;913;12156;651;1027;3603;1677;723;2387;269;2269;3616;828;799;790;1678074;774;294;4549;3391;1958;2381;347;217;6858;1036;226;1085;699;357;413;967;356;1641;289;737;1552;524;8441;742;566;258;209;1513;3816;4639;14023;4648;1619;21593;21282;614;867;700;15955;1648;1802;949;469;6243;5656;1492;1102;6356;6356;1051;436;1640;583;2611;829
16;NH24;1707;100;BXD65b;HF;F;721;4;2891;1228;1874;12396;15177;9283;15484;8615;5512;2072;5522;2148;17329;12875;7630;25967;9902;3547;923;32249;11571;11454;15484;2927;53744;38509;3567;7167;7506;11291;10788;5379;27019;3541;34975;118296;3132;9842;3347;2785;128227;10144;4321;4738;13996;39557;3162;170984;212;1346;1228;7502;16265;1003;258225;6249;3446;24273;8220;30924;1463;1031;7773;1463;3085;1833;175154;65610;88663;36124;18378;3342;3675;8473;4087;5848;8134;34063;8228;1782;6525;1992;2756;54676;2135;7653;1246;1987;4552;3528;27448;102685;4598;1181;5936;2327;8879;2315;7502;1872;5147;36190;2751;20684;13525;1408;4585;43531;43274;6103;68421;8042;2966;1488;18781;6103;5023;7159;3377;53484;1567;5293;6956;3783;2295;27039;4576;1432;1115;6370;164831;2403;6306;2028;84275;40565;65926;3546;5311;1640;12331;13185;1184;1415;9395;7997;73246;6928;7886;5721;3479;1394;1223;783;47123;2540;2477;48380;3695;3503;5228;1439;1205;8803;263564;564;2292;6036;32273;5002;18704;5159;2464;3525;3295;4403;4806;5286;2440;9368;38620;1767;31568;4306;11991;7132;1526;1316;1196;69947;5822;6355;2149;6768;10881;2353;2129;34083;6081;8002;2695;3815;9315;2724;2590;1286;1515;1035;902;29807;7726;1887;8165;243160;1478;38605;30555;8774;2358;4396;2026;4633;2595;5097;4287;2514714;3953;2742;36408;3201;1165;2279;4232;3482;43479;28657;673;25450;239801;5527;2003969;9700;2083;5850;3287;2102;36301;3191;53501;9729;2435;29941;2654;862;3018;5999;364;1027;556;1692;22651;1890;4899;2900;3574;12199;980;1978;59632;358;16413;1397;1168;846;1296;913;2467;2114;1210;1732;2599;3537;2868;2267;13647;412;11946;5791;656;1159;3510;2733;829;1314;829;802;1588;17630;1284;1707;3935;2589;945;3612;1178;2481;4874;950;1125;590;3150308;1439;434;5511;4360;3023;2198;497;434;13632;1323;421;1191;1354;452;611;1217;538;2244;377;987;1687;929;15401;724;806;441;344;1537;5692;8195;21132;6782;2218;34036;32815;1030;1623;1055;22787;2511;1732;1409;700;10187;9048;1355;1387;9734;9734;1231;659;2299;477;2901;1246
17;NH24;1561;105;BXD75;HF;F;201;1;1473;1251;1253;10540;60232;30310;32921;7847;16566;1283;13827;9803;21782;55269;3965;18209;15223;3829;1884;77947;133921;7036;9735;6000;117083;663222;6888;38445;5368;9066;17302;6032;60343;3428;219742;268805;3194;5205;14101;13844;353342;23478;22709;4048;67137;289771;3081;2092072;2885;4020;1550;5806;34616;1098;165665;4665;2934;51616;7187;16117;1030;1615;13708;2100;28652;2530;1763547;217758;60725;199228;32704;13887;11163;4049;11239;3682;5987;474025;21397;3975;11681;1121;5102;289932;6993;3383;5752;5395;16435;7072;10801;40874;10950;1171;5912;1654;8806;3148;3606;1700;4778;103295;3228;12263;16803;1143;10153;155835;24520;7417;312405;36854;5082;2226;303091;6185;3629;12308;8927;24820;2082;8552;17472;12581;5242;17394;5782;28005;2037;10381;3788143;6512;3646;1155;502117;90112;32852;2834;64436;1724;6018;8841;1624;1664;6657;31845;45558;13820;18686;20595;17187;3242;2843;833;106850;12832;2629;1071897;5227;3909;7391;3025;1793;6796;253499;892;2350;5863;18161;6519;12337;2719;6857;2470;7675;5088;25661;12984;3062;8078;44647;2630;238555;2088;7933;3989;2751;2082;931;101361;19111;12247;30801;7715;13190;4733;3497;60377;5292;6032;5749;2494;48794;4968;6976;1928;7336;2975;1892;28239;12970;3690;5257;156122;2238;10041;207562;7717;1949;9312;2116;4369;7026;7499;2590;2357048;24164;2500;227836;8918;1456;2787;42992;27301;24605;15776;1359;46534;644305;3360;1868105;64995;6905;4882;20098;6268;117992;4564;341144;16277;6084;27028;12505;693;3793;16463;504;1848;574;3996;127567;3895;13172;7942;3097;10313;1776;2740;250153;487;87959;4611;1185;1812;3526;2706;9170;3929;858;5870;11342;2504;6975;5299;37664;1209;67626;9985;1005;6425;2986;4158;4178;3422;6321;1806;2350;54928;2723;5102;3206;6864;2083;2741;1633;3368;3948;2204;1469;1200;23039418;4928;819;17342;8515;8505;2020;861;838;46617;2765;658;2157;4575;658;1192;2622;1743;17381;2270;1279;1936;4554;10031;5912;1916;1501;989;1735;48756;74380;175888;67123;31044;795982;635694;5972;16066;2583;48545;19022;3272;4546;1632;45533;49095;6962;3663;21489;21489;2502;3626;7257;2775;4565;3704
18;NH24;1561;105;BXD75;HF;F;201;1;1651;957;1608;9217;61379;32712;34689;8875;17521;1440;15343;8891;22129;54602;3512;18564;15915;4095;1537;80232;136588;7296;9790;6512;122959;649569;6847;38040;5571;8977;19092;6519;59053;3585;223560;269585;4122;5331;13357;13820;370186;24004;23995;4138;68247;300328;2862;2165716;3021;4036;1916;6285;37256;1129;167932;4633;3730;53496;7289;16851;1253;1689;12710;1895;27844;2571;1792879;245436;63956;198895;31413;13310;11553;4196;11292;3415;6413;491715;22751;3864;11267;1331;5225;306315;7441;4281;5283;5071;16269;6466;10432;40895;11814;931;6589;1858;9753;3587;3726;1908;5016;108704;2854;10985;18084;816;10643;161240;23312;7605;307316;39987;5325;1799;297884;5982;4560;12722;8797;26398;1731;8559;17698;14130;4788;18151;5388;27284;2269;11205;3726752;6230;3962;1482;528195;94467;33970;2947;64480;1586;5969;9791;1707;2136;6500;32807;44253;13873;18682;21318;15771;3560;3387;697;107762;12706;2590;1085843;4797;3907;8084;3339;1702;6945;249011;858;1986;6482;16450;6760;11186;2658;6242;2086;9240;4546;27439;12591;3009;8305;44868;2386;234135;1900;8472;4366;2362;2163;798;104171;19698;11107;31857;7621;13207;4692;3416;59436;4688;6041;5411;2097;50122;4685;6509;1696;6399;2844;2221;31015;12907;3929;6090;147638;2167;9876;215094;7470;2120;9546;1963;3721;6675;7368;3039;2172412;23883;2730;224839;8587;1360;3555;43905;28090;24210;15765;1426;44979;560864;3450;1728579;66155;6762;5492;18833;5947;106834;4194;343126;14076;6065;24973;11819;830;3694;15285;334;1663;506;3867;117900;3654;12228;7027;2809;9902;1762;2721;243808;486;88098;4805;1339;1902;2984;2350;8489;4185;708;6032;12228;2200;5853;5554;37210;1137;66848;9534;1079;6262;3144;4034;3498;3235;6428;1899;2418;55148;2604;4859;3413;6220;2125;2353;1884;3153;3833;1835;1308;1016;23164290;5082;698;15331;8274;7458;1883;911;740;45349;2438;780;2138;4172;932;1105;2788;1690;13375;1857;1360;1950;3773;10198;4810;1559;1369;966;1647;44779;67710;153472;54140;28400;721301;569948;5266;12687;2769;41038;16813;3627;4020;1855;38892;41241;6918;3403;18250;18250;2783;3665;5835;3220;4335;3708
19;NH24;1715;36.8;BXD63;HF;F;544;3;1378;1133;2218;7262;19274;11381;5359;4183;5280;646;7974;2854;9101;24259;2694;9938;5693;1561;811;37041;19447;4918;4834;2482;61738;113021;3052;8747;6241;4033;22062;4951;43395;2810;40055;105025;1237;4734;3297;2254;168836;10918;7669;4010;19488;90054;3541;203932;271;1414;952;5396;14599;711;182500;2678;3691;23720;4030;7705;898;2333;10998;1149;3384;1201;260502;73104;64498;64522;15789;3907;5395;3292;5151;3033;5703;169915;8728;1232;7406;577;2487;84503;4310;2770;1276;2060;6761;3322;10962;23453;3770;318;3298;1487;6479;2517;3249;923;4485;45688;1862;13432;6689;1101;3807;49275;31532;6013;31953;7126;2757;4431;51280;1888;2113;2836;3777;17613;1720;8129;7052;3497;7847;15985;3726;3117;1063;3303;124963;1395;2581;1130;59817;43038;26337;17543;4509;1056;4901;4952;3523;1137;4793;44500;33553;8371;1495;122994;15392;2914;2723;659;37205;3930;1504;121510;2527;2584;3508;1831;924;3700;96222;1321;908;3418;8275;6457;11491;1151;1763;2055;5097;2556;2789;17586;1750;3478;13578;2550;59205;1154;6172;2990;10602;1058;753;58231;13075;4851;8918;11049;23585;2644;1707;14888;29798;3044;2993;1289;37586;2501;2811;1217;2601;1444;1127;8702;11746;1358;3958;92142;1130;12086;91325;4721;1460;8105;1060;3207;2619;2968;1728;1295938;4164;965;63372;4872;1138;1807;2845;13617;17427;9395;360;42854;309906;1733;1328968;9536;6011;3166;7908;1967;148039;2267;73704;7421;1324;17790;2546;657;1898;10860;500;1047;385;1824;71581;1775;13739;9126;1894;7240;822;1591;899780;691;55353;1165;1083;763;1490;1451;4851;2397;629;3622;3228;3170;1483;2746;15236;799;407056;4225;978;3182;2324;5482;1550;1090;1111;1141;1574;32979;2110;2042;13148;1698;837;3184;1904;3637;5058;1285;873;3549;15525136;2690;1435;5576;5378;3878;2782;1257;952;41766;3819;1419;2984;2669;918;1553;2972;1577;2981;823;1964;2451;1714;20022;1724;1433;1081;1074;1920;3655;8159;17387;6254;2649;34655;45583;1479;3122;2731;11594;3698;2731;1654;1624;12713;13491;2540;2525;5703;5703;1433;2486;2471;1525;3423;1800
20;NH24;1715;36.8;BXD63;HF;F;544;3;1082;814;2111;6597;18204;11132;5081;4417;4725;1131;7124;3090;8148;24555;2406;10860;5374;1370;683;35898;17944;5146;3394;2825;57422;110358;2697;8020;5561;4383;22509;4640;43473;2825;38159;102397;1673;4079;2872;2107;166504;11337;7640;3220;18450;90310;3726;197688;254;1443;868;5364;15316;633;180404;2710;3469;22055;4009;7915;1244;2187;11128;1019;2844;1393;266664;68414;63859;61195;15721;3370;5090;2681;4847;2682;5082;169349;8369;1356;6596;848;2413;84459;3561;2343;1018;1733;5918;3071;10316;22372;4372;392;3407;1436;6451;2512;3273;741;4102;44835;1450;12753;6370;1157;6215;49086;33015;6296;31112;7246;2836;5105;53307;5071;1907;3612;3668;16155;1488;8380;7483;3546;7715;18348;3679;3122;943;2948;95562;1363;2342;1062;58556;42146;28818;17984;4294;961;5604;5189;3667;662;4948;45216;38153;8028;1657;121746;16058;2612;2969;533;37445;3660;1290;122367;2467;2465;2983;1855;918;3160;84642;1597;1239;3257;9137;6391;9500;1963;1623;1950;5358;2822;2399;18963;1650;3682;11817;2872;59858;1308;6005;2882;10920;1216;763;55568;12714;4567;8418;11092;24709;2943;1794;13098;25940;2924;3011;1024;37029;2147;2878;1350;2693;1451;820;8039;12717;1318;4032;78951;885;10528;93499;5004;1353;6449;1365;2622;2869;3151;1380;1174978;4258;965;66605;4729;1055;1929;2729;13740;15668;8986;525;36631;257489;1827;1219236;9248;5039;3195;7975;1450;127974;2740;74239;7639;1064;16593;2608;607;1885;10299;355;1007;368;1362;61622;1466;12543;6752;1643;6320;991;1686;933442;741;54998;1166;847;636;1298;1524;4603;2411;605;3675;3200;2847;1282;2272;14772;645;399276;4281;910;2871;1890;5947;1386;1019;768;921;1728;31725;2210;2346;13538;1309;986;3334;2242;3155;4830;1586;862;3867;15571023;2792;1537;5584;6212;3851;2412;1200;991;42745;3814;1359;3479;2744;1028;1272;2606;1580;2524;973;2118;2601;1792;21282;1857;1575;1556;1102;1800;3095;7397;14391;5509;2388;28099;38416;1449;2497;2757;9382;2781;2815;1493;1416;11108;12014;2490;2507;5302;5302;1551;2077;2507;1841;3281;2065
